Y (ang)	el Psi 1	el Psi 2	hh Psi 1	hh Psi 2	hh Psi 3	hh Psi 4	hh Psi 5	hh Psi 6	hh Psi 7	hh Psi 8	hh Psi 9	hh Psi 10	hh Psi 11	hh Psi 12	hh Psi 13	hh Psi 14	lh Psi 1	lh Psi 2	lh Psi 3	lh Psi 4	lh Psi 5	lh Psi 6	lh Psi 7	lh Psi 8	lh Psi 9	lh Psi 10	lh Psi 11	lh Psi 12	lh Psi 13	lh Psi 14
1.300000e+002	1.5597e-013	-4.6259e-013	3.1422e-004	-5.4469e-004	7.5681e-003	-9.7777e-004	6.8355e-002	-1.4432e-004	3.0089e-001	-5.3309e-006	-6.8356e-002	1.2243e-008	-2.4723e-011	7.6349e-003	4.2227e-013	-5.6617e-004	3.1422e-004	-5.4469e-004	7.5681e-003	-9.7777e-004	6.8355e-002	-1.4432e-004	3.0089e-001	-5.3309e-006	-6.8356e-002	1.2243e-008	-2.4723e-011	7.6349e-003	4.2227e-013	-5.6617e-004
1.400000e+002	2.8045e-012	-7.7239e-012	1.6526e-005	-3.1959e-005	5.6110e-004	-7.4646e-005	7.6349e-003	-1.6638e-005	6.8356e-002	-1.2629e-006	3.0089e-001	-3.9451e-008	-6.4014e-011	-6.8356e-002	-4.7385e-014	7.6349e-003	1.6526e-005	-3.1959e-005	5.6110e-004	-7.4646e-005	7.6349e-003	-1.6638e-005	6.8356e-002	-1.2629e-006	3.0089e-001	-3.9451e-008	-6.4014e-011	-6.8356e-002	-4.7385e-014	7.6349e-003
1.500000e+002	4.7041e-011	-1.1964e-010	7.0224e-007	-1.4820e-006	3.1150e-005	-4.2354e-006	5.6616e-004	-1.2599e-006	7.6349e-003	-1.4394e-007	6.8356e-002	-9.1280e-009	3.1231e-010	3.0089e-001	-2.7035e-015	-6.8356e-002	7.0224e-007	-1.4820e-006	3.1150e-005	-4.2354e-006	5.6616e-004	-1.2599e-006	7.6349e-003	-1.4394e-007	6.8356e-002	-9.1280e-009	3.1231e-010	3.0089e-001	-2.7035e-015	-6.8356e-002
1.600000e+002	7.3222e-010	-1.7086e-009	2.5033e-008	-5.6816e-008	1.3824e-006	-1.9126e-007	3.1436e-005	-7.1051e-008	5.6617e-004	-1.0817e-008	7.6349e-003	-1.0287e-009	7.0605e-011	6.8356e-002	5.9120e-014	3.0089e-001	2.5033e-008	-5.6816e-008	1.3824e-006	-1.9126e-007	3.1436e-005	-7.1051e-008	5.6617e-004	-1.0817e-008	7.6349e-003	-1.0287e-009	7.0605e-011	6.8356e-002	5.9120e-014	3.0089e-001
1.700000e+002	1.0513e-008	-2.2335e-008	7.6861e-010	-1.8566e-009	5.1100e-008	-7.1727e-009	1.3952e-006	-3.1929e-009	3.1436e-005	-6.0665e-010	5.6617e-004	-7.6732e-011	7.8675e-012	7.6349e-003	1.2917e-014	6.8356e-002	7.6861e-010	-1.8566e-009	5.1100e-008	-7.1727e-009	1.3952e-006	-3.1929e-009	3.1436e-005	-6.0665e-010	5.6617e-004	-7.6732e-011	7.8675e-012	7.6349e-003	1.2917e-014	6.8356e-002
1.800000e+002	1.3823e-007	-2.6493e-007	2.0725e-011	-5.2867e-011	1.6186e-009	-2.3003e-010	5.1580e-008	-1.1926e-010	1.3953e-006	-2.7140e-011	3.1436e-005	-4.2793e-012	5.8250e-013	5.6617e-004	1.4153e-015	7.6349e-003	2.0725e-011	-5.2867e-011	1.6186e-009	-2.3003e-010	5.1580e-008	-1.1926e-010	1.3953e-006	-2.7140e-011	3.1436e-005	-4.2793e-012	5.8250e-013	5.6617e-004	1.4153e-015	7.6349e-003
1.900000e+002	1.6502e-006	-2.8216e-006	4.9817e-013	-1.3339e-012	4.4854e-011	-6.4436e-012	1.6340e-009	-3.8116e-012	5.1581e-008	-1.0100e-012	1.3953e-006	-1.9060e-013	3.2306e-014	3.1436e-005	1.0362e-016	5.6617e-004	4.9817e-013	-1.3339e-012	4.4854e-011	-6.4436e-012	1.6340e-009	-3.8116e-012	5.1581e-008	-1.0100e-012	1.3953e-006	-1.9060e-013	3.2306e-014	3.1436e-005	1.0362e-016	5.6617e-004
2.000000e+002	1.7702e-005	-2.6629e-005	1.0802e-014	-3.0211e-014	1.1047e-012	-1.6023e-013	4.5282e-011	-1.0645e-013	1.6340e-009	-3.2177e-014	5.1581e-008	-7.0668e-015	1.4325e-015	1.3953e-006	5.6989e-018	3.1436e-005	1.0802e-014	-3.0211e-014	1.1047e-012	-1.6023e-013	4.5282e-011	-1.0645e-013	1.6340e-009	-3.2177e-014	5.1581e-008	-7.0668e-015	1.4325e-015	1.3953e-006	5.6989e-018	3.1436e-005
2.100000e+002	1.6842e-004	-2.1893e-004	2.1334e-016	-6.2079e-016	2.4484e-014	-3.5821e-015	1.1153e-012	-2.6400e-015	4.5283e-011	-8.9616e-016	1.6340e-009	-2.2443e-016	5.2916e-017	5.1581e-008	2.5101e-019	1.3953e-006	2.1334e-016	-6.2079e-016	2.4484e-014	-3.5821e-015	1.1153e-012	-2.6400e-015	4.5283e-011	-8.9616e-016	1.6340e-009	-2.2443e-016	5.2916e-017	5.1581e-008	2.5101e-019	1.3953e-006
2.200000e+002	1.3976e-003	-1.5330e-003	3.8686e-018	-1.1673e-017	4.9330e-016	-7.2740e-017	2.4721e-014	-5.8879e-017	1.1153e-012	-2.2170e-017	4.5283e-011	-6.2332e-018	1.6752e-018	1.6340e-009	9.2205e-021	5.1581e-008	3.8686e-018	-1.1673e-017	4.9330e-016	-7.2740e-017	2.4721e-014	-5.8879e-017	1.1153e-012	-2.2170e-017	4.5283e-011	-6.2332e-018	1.6752e-018	1.6340e-009	9.2205e-021	5.1581e-008
